,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,protocol_type_icmp,protocol_type_tcp,protocol_type_udp,service_IRC,service_X11,service_Z39_50,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_hostnames,service_http,service_http_443,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_OTH,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,attack_type
logged_in,-0.017265158,0.00170065,0.04781426,-0.002784094,-0.019908465,0.006163757,0.105304883,-0.001144647,1,0.01361169,0.025292814,0.011207487,0.013518994,0.02692307,0.02377558,0.066232898,,,0.089317841,-0.634642944,-0.478121799,-0.191697702,-0.19111306,-0.099136771,-0.094372214,0.219684814,-0.072692112,0.330673412,-0.621029053,0.119314555,0.16106987,-0.061151383,-0.461558145,0.140492948,-0.190954982,-0.19170388,-0.090868198,-0.08788542,-0.484337207,0.527581975,-0.086481654,0.014425853,0.004067468,-0.005693736,0.025736239,-0.006111706,-0.006169107,-0.006663519,-0.00584644,-0.006024581,-0.006021771,-0.005278188,-0.045720967,-0.006282337,-0.024091979,-0.479948493,-0.006024581,-0.005906417,-0.01537429,0.080669612,0.174259878,-0.005680669,-0.006053762,0.832879144,-0.005906417,-0.006050869,-0.006365938,-0.006111706,-0.005876505,-0.005965791,-0.005995258,-0.00526846,-0.006140474,-0.005876505,-0.005906417,-0.005995258,-0.006140474,-0.005785841,-0.006082803,-0.005783794,-0.011575023,-0.048592397,-0.000593558,-0.005965791,0.013821869,-0.006197608,-0.22443437,-0.000593558,-0.006502889,-0.006254221,-0.006282337,0.333398058,-0.006225979,-0.005301249,-0.006140474,-0.006082803,-0.006365938,0.028643373,-0.000593558,-0.001570417,-0.007438439,-0.002220921,-0.013774971,-0.006111706,-0.006111706,-0.006111706,-0.006225979,-0.001678848,-0.100065319,-0.006299199,-0.00196863,-0.002649471,-0.192889278,0.023096862,0.015890057,0.006985977,0.227274883,-0.006140474,-0.795282173
service_http,-0.025529717,-0.000368247,0.039658714,-0.002581269,-0.018458106,-0.000994641,0.017828399,-0.003783736,0.832879144,0.005006225,0.006182347,-0.001808543,-0.002175571,-0.004344555,-0.003836647,0.042742868,,,-0.01441315,-0.586297002,-0.441589245,-0.17498813,-0.174433902,0.046650742,0.049909421,0.205259199,-0.09587507,0.22625507,-0.608110542,0.197599248,0.227045238,-0.106108104,-0.426598157,0.220720201,-0.175689186,-0.17575635,0.047606389,0.047368542,-0.449052572,0.489146899,-0.080181346,-0.003608822,-0.001825213,-0.005278939,-0.009969961,-0.00566646,-0.005719679,-0.006178072,-0.005420518,-0.005585682,-0.005927783,-0.005927783,-0.042390131,-0.00582466,-0.022336845,-0.444983582,-0.005585682,-0.005476126,-0.014254251,-0.015558395,-0.037993947,-0.005953285,-0.005612737,1,-0.005476126,-0.005953285,-0.005902171,-0.00566646,-0.005448393,-0.005531175,-0.005558495,-0.005612737,-0.005693132,-0.005448393,-0.005476126,-0.005558495,-0.005693132,-0.005364335,-0.005639663,-0.005719679,-0.010731766,-0.047162428,-0.000550317,-0.005531175,-0.007823063,-0.005746104,-0.208096674,-0.000550317,-0.006029144,-0.005798593,-0.00582466,-0.054806091,-0.005772408,-0.005639663,-0.005693132,-0.005639663,-0.005902171,-0.012470866,-0.000550317,-0.00145601,-0.006896538,-0.002059124,-0.012771446,-0.00566646,-0.00566646,-0.00566646,-0.005772408,-0.001556542,0.049242957,-0.006392077,-0.001825213,-0.003453348,-0.17567828,0.016009311,0.014567451,0.003608555,0.132105144,-0.005693132,-0.74473118
protocol_type_tcp,-0.033161054,0.002755366,0.033025925,0.008439225,-0.037735303,0.003251887,0.055814416,0.012370582,0.527581975,0.007181282,0.013344033,0.005912868,0.007132377,0.014204127,0.012543568,0.034943283,,,0.047122483,-0.812790075,-0.90700446,0.58611777,0.586169484,0.313534616,0.314419921,-0.665581818,0.258074193,0.180224755,-0.382352265,-0.684738044,-0.667884526,0.181983391,-0.919561886,0.121269957,0.586762259,0.585767239,0.31337362,0.315472985,-0.918032134,1,-0.163920789,0.011798715,0.005967367,0.017259012,0.032595881,0.018525977,0.018699971,0.020198645,0.017721892,0.018261879,0.019380348,0.019380348,-0.086661351,0.019043196,-0.045664902,-0.909713591,0.018261879,0.017903696,0.046602979,0.050866759,0.124217755,0.019463724,0.018350334,0.489146899,0.017903696,0.019463724,0.019296612,0.018525977,0.017813026,0.018083674,0.018172995,0.018350334,0.018613177,0.017813026,0.017903696,0.018172995,0.018613177,0.017538205,0.018438364,0.018699971,-0.021939761,-0.03966058,0.001799211,0.018083674,0.025576792,0.018786365,0.595474877,-0.001125054,0.01971174,0.018957971,0.019043196,0.179183531,0.018872363,0.018438364,0.018613177,0.018438364,0.019296612,0.040772362,-0.001125054,-0.002976632,0.022547605,-0.004209623,-0.026109632,0.018525977,0.018525977,0.018525977,0.018872363,0.005088972,0.303320808,0.04331871,0.005967367,0.054115632,0.584691404,0.013584513,0.008814501,0.005689656,-0.698874174,0.018613177,-0.412080311
protocol_type_udp,0.276980514,-0.000614967,-0.004917751,-0.001383364,0.210637149,-0.000533052,-0.009149143,-0.002027796,-0.086481654,-0.001177161,-0.002187364,-0.000969242,-0.001169145,-0.002328352,-0.002056152,-0.005727931,,,-0.007724355,-0.310536611,-0.232818542,-0.094314499,-0.096085364,-0.051310329,-0.051539961,0.08249039,0.075562636,0.074677695,0.008393052,-0.086393915,-0.076457869,0.366528295,-0.121268349,-0.025329178,-0.095512708,-0.096019428,-0.039540022,-0.051712581,-0.240658103,-0.163920789,1,-0.001934055,-0.000978176,-0.002829111,-0.005343143,-0.003036793,-0.003065314,-0.003310978,-0.002904987,-0.002993502,-0.003176842,-0.003176842,0.528678222,-0.003121576,-0.011970854,-0.238477433,-0.002993502,-0.002934788,-0.007639197,-0.008338119,-0.020361872,-0.003190509,-0.003008001,-0.080181346,-0.002934788,-0.003190509,-0.003163116,-0.003036793,-0.002919925,-0.00296429,-0.002978932,-0.003008001,-0.003051087,-0.002919925,-0.002934788,-0.002978932,-0.003051087,-0.002874876,-0.003022431,-0.003065314,0.133843679,0.449260797,-0.000294928,-0.00296429,-0.004192568,-0.003079476,0.096250147,-0.000294928,-0.003231164,-0.003107606,-0.003121576,-0.029371906,-0.003093573,-0.003022431,-0.003051087,-0.003022431,-0.003163116,-0.006683438,0.006863402,-0.000780311,-0.003696021,-0.001103534,-0.006844526,-0.003036793,-0.003036793,-0.003036793,-0.003093573,-0.000834188,-0.049720586,-0.007100837,-0.000978176,-0.008870677,-0.095843076,-0.002226784,-0.00144488,-0.000932653,0.114560006,-0.003051087,-0.388491269
srv_diff_host_rate,-0.011789929,-1.51E-05,0.008135135,0.036984973,0.000152708,-0.000523636,0.001972919,-0.001991976,0.330673412,0.000770321,0.000492006,0.000872067,0.000439271,0.006588446,0.000972841,0.025210403,,,-0.005295815,-0.314210449,-0.235632064,-0.092378674,-0.091956431,0.024024801,0.029922621,0.105393378,-0.022426178,1,-0.382388813,0.005095581,0.047734276,-0.005613286,-0.187881322,0.259984766,-0.091336278,-0.092685782,0.024294814,0.020311271,-0.207342715,0.180224755,0.074677695,-0.001899891,-0.000960897,-0.002779137,-0.004641709,-0.00298315,-0.003011168,-0.003252492,-0.002853672,-0.002940624,-0.003120726,-0.003120726,0.190511731,-0.003066436,0.213486388,-0.231577672,-0.002940624,-0.002882947,0.00350423,-0.006066971,0.006967633,-0.003134151,-0.002954867,0.22625507,-0.002882947,-0.000750714,-0.003107242,-0.00298315,-0.002868347,-0.002911928,-0.002926311,-0.002954867,-0.002997192,-0.002868347,-0.002882947,-0.002926311,-0.002997192,-0.002824094,-0.002969042,-0.003011168,0.001015856,-0.024829012,-0.000289718,-0.002911928,-0.00411851,-0.003025079,-0.109554047,-0.000289718,-0.003174088,-0.003052712,-0.003066436,0.404797705,-0.003038927,-0.002969042,-0.002997192,-0.002969042,-0.003107242,-0.00656538,-0.000289718,-0.000766527,-0.003630734,-0.001084041,-0.004387637,-0.00298315,-0.00298315,-0.00298315,-0.003038927,0.002713062,0.02578976,-0.002347058,-0.000960897,-0.004427564,-0.092542062,0.00784443,0.00555584,0.002243405,0.06981898,-0.001741382,-0.364686947
service_smtp,-0.009036678,-0.000166219,-0.002192318,-0.000945567,-0.006761545,-0.000364355,-0.005955557,-0.001386052,0.333398058,-0.000788414,-0.001495122,0.003077659,-0.000552969,0.02289409,-0.001405434,0.042821165,,,-0.005279803,-0.218366558,-0.167444578,-0.061474723,-0.061490752,-0.032559368,-0.032684075,0.066142821,0.017852875,0.404797705,-0.23966341,-0.073003941,-0.038334567,0.053537331,-0.168929928,0.013861514,-0.059545947,-0.061316072,-0.029095011,-0.033034428,-0.164496239,0.179183531,-0.029371906,-0.001321978,-0.000668609,-0.001933773,-0.003652181,-0.002075729,-0.002095224,-0.002263142,-0.001985636,-0.002046138,-0.002171456,-0.002171456,-0.015528287,-0.00213368,-0.008182398,-0.163005693,-0.002046138,-0.002006006,-0.005221595,-0.005699327,-0.013917884,-0.002180798,-0.002056049,-0.054806091,-0.002006006,-0.002180798,-0.002162074,-0.002075729,-0.001995847,-0.002026171,-0.002036179,-0.002056049,-0.002085499,-0.001995847,-0.002006006,-0.002036179,-0.002085499,-0.001965055,-0.002065912,-0.002095224,-0.003931244,-0.017276467,-0.000201591,-0.002026171,-0.002865732,-0.002104904,-0.07622965,-0.000201591,-0.002208587,-0.002124131,-0.00213368,1,-0.002114539,-0.002065912,-0.002085499,-0.002065912,-0.002162074,-0.004568308,-0.000201591,-0.000533363,-0.002526329,-0.000754295,-0.004678416,-0.002075729,-0.002075729,-0.002075729,-0.002114539,-0.00057019,-0.033985348,0.010479634,-0.000668609,-0.005039837,-0.061226555,0.002548221,0.003194069,0.002601579,0.072900431,-0.002085499,-0.281567516
same_srv_rate,0.02177086,-0.001859509,0.014001816,0.002286391,0.017416121,0.001380846,0.022696805,0.004580922,0.219684814,0.003012064,0.005295595,0.002510776,0.002814955,0.005537706,0.004763276,0.014340525,,,0.018608252,0.353734628,0.615565584,-0.858246873,-0.857059689,-0.330002358,-0.328424986,1,-0.426251956,0.105393378,-0.181051066,0.898954663,0.927808034,-0.26617179,0.660744152,0.083454362,-0.857834624,-0.857543751,-0.330290836,-0.331991668,0.621722123,-0.665581818,0.08249039,0.003612717,0.000478475,-0.02562768,-0.013419091,-0.027838841,-0.026311256,-0.029884514,-0.026479891,-0.02760032,-0.029183509,-0.029057585,0.055849759,-0.028502875,0.02809992,0.617764669,-0.025552491,-0.025368629,-0.0030388,0.007153976,0.041749691,-0.028120389,-0.027241449,0.205259199,-0.025320738,-0.025426315,-0.029015604,-0.025510453,-0.025252758,-0.025941661,-0.026424501,-0.025135196,-0.027464519,-0.026530176,-0.026956397,-0.027335467,-0.027659414,-0.02574434,-0.02626064,-0.027700939,0.013187172,-0.02644516,-0.00286444,-0.027272914,-0.018429557,-0.025646664,-0.898069628,0.000763997,-0.029133529,-0.028059833,-0.026435123,0.066142821,-0.02798032,-0.026782902,-0.027400735,-0.026739976,-0.029032694,-0.009815082,-0.002827789,0.002021359,-0.019078177,0.002858654,-0.002550529,-0.025802392,-0.027845962,-0.027201561,-0.027878968,0.002160926,-0.33287902,-0.047502503,-0.008251631,0.017081488,-0.857951873,0.005180949,0.003017188,0.002415994,0.952024776,0.00772652,-0.247405177
service_domain_u,-0.004144674,-0.000330733,-0.002656421,-0.000731355,-0.005229761,-0.000281813,-0.004836953,-0.001072051,-0.045720967,-0.00062234,-0.001156412,-0.000512417,-0.000618101,-0.001230949,-0.001087043,-0.003028232,,,-0.004083698,-0.156202782,-0.111324824,-0.050860628,-0.050798239,-0.02717454,-0.027248055,0.055849759,-0.003976882,0.190511731,-0.045708395,0.003758726,0.02333309,-0.007476305,-0.110818289,-0.003928672,-0.050727611,-0.05076338,-0.025314529,-0.027339315,-0.127230698,-0.086661351,0.528678222,-0.001022493,-0.00051714,-0.001495689,-0.002824803,-0.001605486,-0.001620565,-0.001750442,-0.001535803,-0.001582599,-0.001679527,-0.001679527,1,-0.001650309,-0.00632873,-0.126077826,-0.001582599,-0.001551558,-0.004038677,-0.004408182,-0.010764879,-0.001686753,-0.001590265,-0.042390131,-0.001551558,-0.001686753,-0.00167227,-0.001605486,-0.001543701,-0.001567156,-0.001574896,-0.001590265,-0.001613043,-0.001543701,-0.001551558,-0.001574896,-0.001613043,-0.001519885,-0.001597894,-0.001620565,-0.003040646,-0.013362597,-0.000155922,-0.001567156,-0.002216519,-0.001628052,-0.058960324,-0.000155922,-0.001708246,-0.001642923,-0.001650309,-0.015528287,-0.001635504,-0.001597894,-0.001613043,-0.001597894,-0.00167227,-0.003533388,-0.000155922,-0.000412533,-0.001954006,-0.000583414,-0.003618552,-0.001605486,-0.001605486,-0.001605486,-0.001635504,-0.000441017,-0.026286191,-0.003754058,-0.00051714,-0.004689734,-0.050670147,-0.001177252,-0.000763877,-0.000493073,0.06056538,-0.001613043,-0.221276257
flag_SF,0.021547939,-0.001725242,0.014036095,-0.012075458,0.026372228,0.001421104,0.023070873,-0.010306558,0.227274883,0.003031932,0.005831463,0.002583977,0.003114538,0.005661822,0.005481652,0.015139467,,,0.020335961,0.392236838,0.6340654,-0.837752706,-0.837263671,-0.446849823,-0.443945356,0.952024776,-0.355238098,0.06981898,-0.092160987,0.877171811,0.894105842,-0.257400082,0.664889907,-0.011303564,-0.83726968,-0.83689397,-0.438198232,-0.438422181,0.64158895,-0.698874174,0.114560006,-0.012269728,-0.000432117,-0.02469545,-0.005802888,-0.026508315,-0.026757279,-0.028901691,-0.025357772,-0.026130425,-0.027418741,-0.026482529,0.06056538,-0.027248389,0.031914021,0.635775335,-0.026130425,-0.025617911,-0.006008581,0.009013127,0.04509375,-0.027228643,-0.026256992,0.132105144,-0.025617911,-0.025985705,-0.027610995,-0.026508315,-0.025488173,-0.025875436,-0.026003243,-0.025597833,-0.026633087,-0.025488173,-0.025617911,-0.026003243,-0.026633087,-0.025094939,-0.026382952,-0.026433859,0.015333133,0.004185359,0.000786271,-0.025875436,-0.01767657,-0.026880897,-0.875929458,0.000786271,-0.028204991,-0.027126444,-0.026930796,0.072900431,-0.027003949,-0.026054946,-0.02630816,-0.026382952,-0.027610995,-0.022413698,0.000786271,0.002080291,-0.018581675,0.002941997,0.018247348,-0.026508315,-0.026508315,-0.026508315,-0.027003949,-0.007281672,-0.434013474,-0.06198356,-0.008538543,-0.077432582,-0.836618987,-0.019437709,-0.01261243,-0.008141173,1,-0.026633087,-0.206690681
dst_host_srv_diff_host_rate,-0.006982718,0.001185534,0.008706518,0.083320053,0.012092311,-0.00040791,-0.004467318,0.016000679,0.140492948,0.000621185,0.016950144,0.001847707,0.002311062,0.009938142,0.004835257,0.000739604,,,-0.005626906,-0.244572814,-0.183215066,-0.071137053,-0.070891827,0.137343494,0.135027993,0.083454362,-0.028008312,0.259984766,-0.491161946,-0.017111702,0.058054807,0.006337941,-0.064396135,1,-0.071131678,-0.071656702,0.139266517,0.140223783,-0.109138924,0.121269957,-0.025329178,-0.001480007,-0.000748535,-0.002164936,0.061974878,-0.002323861,-0.002345687,-0.002533678,-0.002222999,-0.002290734,-0.002431032,-0.002431032,-0.003928672,-0.00238874,0.587124723,-0.176996468,-0.002290734,-0.002245804,0.103826005,-0.004921084,0.080329434,0.006925205,-0.002301829,0.220720201,-0.002245804,-0.002441491,-0.002420528,-0.002323861,-0.00223443,-0.00226838,0.001064301,-0.002301829,0.00093004,0.001177002,-0.002245804,-0.002279584,-0.0023348,-0.002199957,-0.002312871,-0.002345687,-0.002806886,-0.019341695,-0.000225689,-0.00226838,0.040992761,-0.002356524,-0.079124159,-0.000225689,0.000610365,0.000827437,-0.00238874,0.013861514,-0.002367311,0.000982908,-0.0023348,-0.002312871,-0.002420528,0.025315722,-0.000225689,-0.000597122,-0.00013291,0.000419041,-0.003737335,-0.002323861,-0.002323861,-0.002323861,-0.002367311,-0.000399572,0.141336701,0.002036412,-0.000748535,-0.006506966,-0.071185798,0.006213112,0.00330588,0.000781294,-0.011303564,-0.0023348,-0.204957675
