,0
duration,False
src_bytes,False
dst_bytes,False
land,False
wrong_fragment,False
urgent,False
hot,False
num_failed_logins,False
logged_in,False
num_compromised,False
root_shell,False
su_attempted,False
num_root,False
num_file_creations,False
num_shells,False
num_access_files,False
num_outbound_cmds,False
is_host_login,False
is_guest_login,False
count,False
srv_count,False
serror_rate,False
srv_serror_rate,False
rerror_rate,False
srv_rerror_rate,False
same_srv_rate,False
diff_srv_rate,False
srv_diff_host_rate,False
dst_host_count,False
dst_host_srv_count,False
dst_host_same_srv_rate,False
dst_host_diff_srv_rate,False
dst_host_same_src_port_rate,False
dst_host_srv_diff_host_rate,False
dst_host_serror_rate,False
dst_host_srv_serror_rate,False
dst_host_rerror_rate,False
dst_host_srv_rerror_rate,False
protocol_type_icmp,False
protocol_type_tcp,False
protocol_type_udp,False
service_IRC,False
service_X11,False
service_Z39_50,False
service_auth,False
service_bgp,False
service_courier,False
service_csnet_ns,False
service_ctf,False
service_daytime,False
service_discard,False
service_domain,False
service_domain_u,False
service_echo,False
service_eco_i,False
service_ecr_i,False
service_efs,False
service_exec,False
service_finger,False
service_ftp,False
service_ftp_data,False
service_gopher,False
service_hostnames,False
service_http,False
service_http_443,False
service_imap4,False
service_iso_tsap,False
service_klogin,False
service_kshell,False
service_ldap,False
service_link,False
service_login,False
service_mtp,False
service_name,False
service_netbios_dgm,False
service_netbios_ns,False
service_netbios_ssn,False
service_netstat,False
service_nnsp,False
service_nntp,False
service_ntp_u,False
service_other,False
service_pm_dump,False
service_pop_2,False
service_pop_3,False
service_printer,False
service_private,False
service_red_i,False
service_remote_job,False
service_rje,False
service_shell,False
service_smtp,False
service_sql_net,False
service_ssh,False
service_sunrpc,False
service_supdup,False
service_systat,False
service_telnet,False
service_tftp_u,False
service_tim_i,False
service_time,False
service_urh_i,False
service_urp_i,False
service_uucp,False
service_uucp_path,False
service_vmnet,False
service_whois,False
flag_OTH,False
flag_REJ,False
flag_RSTO,False
flag_RSTOS0,False
flag_RSTR,False
flag_S0,False
flag_S1,False
flag_S2,False
flag_S3,False
flag_SF,False
flag_SH,False
attack_type,True
