,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,protocol_type_icmp,protocol_type_tcp,protocol_type_udp,service_IRC,service_X11,service_Z39_50,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_hostnames,service_http,service_http_443,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_OTH,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,attack_type
duration,1.0,0.004258230269506582,0.0054395344782339995,-0.0004524024642072156,-0.003235033472079037,0.003785996539910306,0.013212927753622608,0.005238859915181378,-0.017265158275511033,0.05809501636780907,0.021339770053481966,0.05585344046325681,0.05676597485928125,0.0745617413191166,-0.0001691862137891275,0.02566120721973081,,,0.023423711172060966,-0.10515338141725447,-0.08024996284480387,-0.031415553166905384,-0.031377780036493955,0.01205330224451788,0.012106443540523962,0.021770860100166524,0.05180020847711098,-0.01178992850261072,0.010073842749600008,-0.117515081877108,-0.11845783449635297,0.4062326089413435,0.04264239637858996,-0.0069827181578601205,-0.0304002041715989,-0.030612353797975587,0.006739163147265062,0.010464637941725976,-0.07870255377548871,-0.03316105421908931,0.2769805140476525,0.096169025795531,-0.00011199417708329215,-0.0009252057159466359,-0.0017375998561159286,-0.0009931240087851746,0.004921024505688121,0.006162571865974737,-0.0009500193669150039,-0.0009789665254212683,-0.0010368710260963087,-0.0010378043707079576,-0.004144673732859165,-0.001020850621881265,-0.003914835083974575,-0.07798940816962996,0.005129337429632956,-0.0009597653533922364,-0.0024409746122101344,0.0213215514076988,0.0031458739487129355,-0.0010406059080866593,-0.0009837083069625717,-0.02552971665648141,-0.000959765353392221,-0.001030011337000314,-0.0010344355217448095,-0.000993124008785176,-0.0009549047841021349,-0.0009694134413991947,-0.0009742016835790112,-0.0009440827730584814,-0.0009977985694380395,-0.0009549047841021256,-0.0009597653533922198,-0.0009742016835790214,-0.0009977985694380354,-0.0009401724374752445,-0.000988427360084599,-0.001001484063433108,-0.0016860120840771476,0.4768653445606649,-9.645047940685972e-05,-0.000969413441399185,0.004350498911355831,0.004950016221822662,-0.026882491369206007,-9.645047940685941e-05,-0.0010566893408902925,-0.0010160911799484374,-0.0010208506218812757,-0.009036678423369566,-0.0010116927776394524,-0.0009868577509547871,-0.0009956606179114,0.006994212271819464,-0.0010344355217447713,0.038367600808924006,-9.645047940685948e-05,-0.00025518553199518836,-0.0012047003772273756,-0.00036088939711427287,-0.0022383690697812043,0.0049467104468718225,-0.0009923429141102471,-0.000993124008785182,-0.00101092601308967,-0.00027280508490728816,-0.016259797958192067,0.002157427916609561,0.021771963331457873,0.14847062974637856,-0.03134361467235868,-0.0007282264262148111,-0.0004556955497990416,0.0029904795579732035,0.021547939038184933,-0.0009977985694380228,-0.11801410042328685
src_bytes,0.004258230269506582,1.0,-1.5967721493478707e-06,-2.0431908259143637e-05,-0.0001390378290979189,-5.013659716677487e-06,0.004482836433326445,-2.7391064748568797e-05,0.0017006498881350133,0.00011854439828134797,-2.1860023391220253e-05,-9.843453806715188e-06,-9.840747913693153e-06,1.3238666897090016e-05,4.6435340779846685e-06,-5.1855145337139585e-05,,,-8.231825925981874e-05,-0.0030980849999313652,-0.0025008336380371184,0.0015579733653914615,0.0011140127088300703,0.0005907502627801923,0.0013785900464042071,-0.0018595085376789562,0.006206799746186266,-1.5060652612137507e-05,-0.0017425808009189465,-0.0032119371856462403,-0.0020524666297713945,0.0005780170297363165,-0.0007237336196602508,0.0011855342257761324,-0.0007183112519009133,0.001122094994501364,-0.0003926914090884087,0.0013283577176615188,-0.002463875121176437,0.0027553659719055865,-0.0006149670162465235,-3.825729472738338e-08,0.0004153452595717332,-4.178517980042984e-05,-7.873366886058925e-05,-4.485258203226009e-05,-4.5273695389103625e-05,-4.890209251870279e-05,-4.2905841777922584e-05,-4.421318586588706e-05,-4.692026789856104e-05,-4.690181876327939e-05,-0.00033073325660619153,-4.610480247741094e-05,-0.00017590785122788432,-0.002433603543640843,-4.421304399228667e-05,-4.3346000966589244e-05,0.038479693334114246,-9.369020864953484e-05,0.007410913334203377,-4.712213102276831e-05,-4.442733953016109e-05,-0.00036824707574297655,-4.3346000966589826e-05,-4.6567698831536336e-05,-4.671833898457214e-05,-4.485258203226023e-05,-4.312648247657426e-05,-4.378173875457969e-05,-4.399799072639998e-05,-4.4391053696820884e-05,-4.506369979126228e-05,-4.312648247657418e-05,-4.334600096658883e-05,-4.399799072639962e-05,-4.506369979126282e-05,-4.2461123689790824e-05,-4.464046670803606e-05,-4.527300263272189e-05,-8.359911484160973e-05,-9.025828302802332e-05,-4.2926576002287556e-06,-4.37817387545822e-05,-6.144899177297475e-05,-4.54828601982302e-05,-0.001643221127456114,-4.224991175985818e-06,-4.7723390961893946e-05,-4.589846950849437e-05,-4.609364595078756e-05,-0.00016621893489601327,-4.569120562901885e-05,-4.4548990653117984e-05,-4.506286460887305e-05,-4.4640326191821525e-05,-4.6718338984571786e-05,-8.499282157087392e-05,-4.3545651798552955e-06,-9.376620224427567e-06,-5.45890896034621e-05,-1.610496116598321e-05,-9.527196131725681e-05,-4.485244218028859e-05,-4.485258203226229e-05,-4.485258203226221e-05,-4.569120562902151e-05,-1.2320729678652372e-05,-0.0007343592060048505,0.04140690751130465,-1.4447380031795315e-05,0.00018890325422618896,-0.001415574135106729,0.00011555214143713602,6.395630425962361e-05,0.0023248498722028815,-0.001725242150011381,-4.5063699791268144e-05,0.000936284873775017
dst_bytes,0.0054395344782339995,-1.5967721493478707e-06,1.0,-0.00017542630925481426,-0.001254359747320755,0.016287603120570617,0.0043654949100132324,0.04932991584451051,0.047814260115436095,0.023297952057456304,0.031680117285183516,0.07565606476994736,0.020746249395151052,0.004957596020708939,0.00014378596595271601,0.008746417225098703,,,0.001288975316199572,-0.040372526823147036,-0.030544267755158085,-0.011907584980122765,-0.011930204567053836,-0.006166474919539262,-0.005807524354785678,0.014001816094549804,-0.005701937473504714,0.008135135111902884,-0.048868839989495726,-0.005849515868300909,0.007058366332403392,-0.005313954803846794,-0.020143346273131753,0.008706517609582968,-0.0113337321007918,-0.011234901298129865,-0.004999622425151451,-0.005470815886810593,-0.030518177132292924,0.03302592453159145,-0.0049177513010292264,0.0018471891526401875,0.00445388074967872,-0.0003587633509786121,-0.0006578513029306823,-0.00038509975801928235,-0.0003887165845325272,-0.0004198695491166604,-0.00036838524200027083,-0.0003796099668457802,-0.0004028595879594919,-0.00039705359780779846,-0.002656421296117591,-0.0003958511968119546,-0.0015180400737345569,-0.030241643489143707,-0.0003796099668457685,-0.00037216440452261123,-0.0008087408733541115,0.001044655762392691,0.051018294649058965,-0.0004039795847121409,-0.00038144866866748087,0.03965871394817289,-0.0003721644045226011,0.002220741407610194,-0.00040111895955243664,-0.0003850997580192714,-0.00037027964084666506,-0.0003759056053434254,-0.0003777623230226377,-0.00020345944900653754,-0.0003869123938636683,-0.0003702796408466686,-0.0003721644045225954,-0.0003777623230226402,-0.00038691239386368055,-0.0003645669372256915,-0.0003832785571801987,-0.00038871658453250665,-0.0006890366435302818,-0.002966872760063598,-2.9132431570056593e-05,-0.00037590560534339303,0.00027808050027213106,-0.0003905124470775049,-0.014018907405012913,-3.740021986363819e-05,-0.0004097482347407636,-0.00039407964269400395,-0.0003958471274351688,-0.0021923178734986858,-0.00039230009587157706,-0.00034280554995527653,-0.00038691239386365854,-0.00038327855718021204,-0.0004011189595524419,0.11705931997806758,-3.7400219863637903e-05,-9.895228164061079e-05,-0.0004679824783996337,-0.00013994065018164403,-0.0008679634965073256,-0.0003850997580192626,-0.0003850997580192489,-0.0003850997580192702,-0.0003923000958715746,-0.00010578454579174802,-0.006305134280302606,-0.00044920039782402917,-0.0001240437518235555,9.938894827209659e-05,-0.012153989148383884,0.008182426484995554,0.006519680096146267,0.00047428731145002494,0.014036094821219312,-0.00038691239386369567,-0.03770892644990409
land,-0.0004524024642072156,-2.0431908259143637e-05,-0.00017542630925481426,1.0,-0.0003184567273825517,-1.7160480601165532e-05,-0.000294537371698282,-6.528060355653045e-05,-0.002784094482710777,-3.789623105969373e-05,-7.041758418822025e-05,-3.120270356873158e-05,-3.7638156070243725e-05,-7.495637117403737e-05,-6.619346235347287e-05,-0.00018439864636214895,,,-0.00024866930878122235,-0.010259783721848229,-0.007886221357792314,0.013897682110643536,0.01442152152012574,-0.0007773020644116952,-0.0016592203836595142,0.0022863906883129263,0.0022818438042380073,0.03698497342170882,-0.023670711758200076,-0.01158720553128454,0.0019840774480186143,-0.00033295230106900525,0.0037986949324918507,0.08332005327295583,0.012657685211541777,0.007794684091653403,-0.0015109517007527071,-0.0016647774913263608,-0.007747480181675918,0.008439225485768002,-0.0013833644987376343,-6.226281179705118e-05,-3.149029854397636e-05,-9.107725994149474e-05,-0.0001720112067388823,-9.776313736856111e-05,-9.868132103367717e-05,-0.00010658995118120726,-9.351991599127842e-05,-9.636947456446493e-05,-0.00010227172678710387,-0.00010227172678710211,-0.0007313546838669531,-0.00010049254543935621,-0.0003853764048640857,-0.007677278121094933,-9.636947456446864e-05,-9.447931099767164e-05,0.1728452455770525,-0.0002684281702266046,-0.0006555075495261266,-0.00010271171119117098,-9.683625558686838e-05,-0.0025812693519796223,-9.447931099767193e-05,-0.00010271171119116996,-0.0001018298431179425,-9.776313736856186e-05,-9.400083650808887e-05,-9.542906887768154e-05,-9.59004234858095e-05,-9.68362555868693e-05,-9.82233011660333e-05,-9.40008365080893e-05,-9.447931099767588e-05,-9.590042348580693e-05,-9.822330116603311e-05,-9.255058415862894e-05,-9.730079922345366e-05,-9.868132103367455e-05,-0.00018515459400609042,-0.0008136908723809427,-9.494586158530602e-06,-9.54290688776799e-05,-0.00013497088402265458,-9.913722668675442e-05,-0.003590280874420795,-9.494586158530628e-06,-0.00010402050929744402,-0.00010004281083167806,-0.00010049254543935327,-0.0009455665723094917,-9.959104716049311e-05,-9.73007992234561e-05,-9.822330116603444e-05,-9.730079922345073e-05,-0.00010182984311794112,0.009202983246094082,-9.494586158530538e-06,-2.5120466324675533e-05,-0.00011898561150372004,-3.552595586536623e-05,-0.00022034507364114336,-9.776313736856286e-05,-9.776313736856468e-05,-9.776313736856343e-05,-9.959104716050025e-05,-2.6854935289760795e-05,-0.001600649431573041,-0.00022859647606390595,-3.14902985439806e-05,-0.0002855727428654616,0.014433640437974777,-7.16866166880238e-05,-4.65148656192935e-05,-3.0024791197020903e-05,-0.012075457635093437,-9.822330116603608e-05,0.00254166651527966
wrong_fragment,-0.003235033472079037,-0.0001390378290979189,-0.001254359747320755,-0.0003184567273825517,1.0,-0.00012271093447516776,-0.002106173886324583,-0.00046680766417351433,-0.019908465478371575,-0.0002709878606841545,-0.0005035411163620257,-0.0002231238740953521,-0.0002691424215116611,-0.0005359970134524392,-0.00047333532261266794,-0.0013185953667008755,,,-0.0017781811573367886,-0.06193448569003565,-0.04778863817408302,-0.013969174131710182,-0.022119282832831356,-0.01152932242141624,-0.011864730861050044,0.017416120536496837,-0.007076690010536893,0.0001527081546749483,-0.005190883919253926,-0.05862406467546159,-0.0549027835455943,0.0718570580973984,-0.03180271923321355,0.012092310775483887,-0.01909101903662703,-0.022104104013801678,0.0297739510131661,-0.011904468552005576,-0.04753562160800663,-0.03773530259614487,0.21063714877325007,-0.000445228079343433,-0.00022518040438627654,-0.0006512740485892573,-0.0012300154296199502,-0.0006990833312037444,-0.0007056490666388234,-0.0007622019930036068,-0.0006687409607017987,-0.0006891175459201727,-0.0007313232919352054,-0.0007313232919351944,-0.005229761262281116,-0.0007186007458214016,-0.0027557444260821583,-0.047043901329747215,-0.0006891175459201727,-0.0006756013896432828,-0.0017585775197429276,-0.0019194725586954464,-0.004687394591524786,-0.0007344695265093752,-0.0006924553973933265,-0.01845810625443629,-0.0006756013896432874,-0.0007344695265093774,-0.0007281634761215952,-0.0006990833312037473,-0.0006721799206819051,-0.0006823929055506515,-0.0006857634617592173,-0.0006924553973933067,-0.0007023738643136255,-0.0006721799206818901,-0.0006756013896432926,-0.0006857634617592214,-0.0007023738643136159,-0.0006618094756365141,-0.0006957772497979333,-0.0007056490666387896,-0.0013240009869718741,-0.005818529774568077,-6.789375933265836e-05,-0.0006823929055506391,-0.000965147986836283,-0.0007089091506668754,0.07937852187983019,-6.789375933265823e-05,-0.0007438284624502413,-0.0007153847896220375,-0.0007186007458213962,-0.006761544760506122,-0.0007121543240225311,-0.0006957772497979447,-0.0007023738643136101,-0.000695777249797932,-0.0007281634761215909,-0.0015385574099543488,-6.789375933265805e-05,-0.0001796310936037251,-0.0008508407145501713,-0.0002540385286217896,-0.0015756405966664624,-0.0006990833312037336,-0.0006990833312037635,-0.0006990833312037422,-0.0007121543240225025,-0.00019203391101137157,-0.011445902482598712,-0.0016346446144186776,-0.00022518040438627545,-0.002042069738727314,-0.022063507037679012,-0.000512615696937545,-0.0003326178770740332,-0.00021470087410943537,0.026372228449301444,-0.0007023738643136528,0.02362951470427504
urgent,0.003785996539910306,-5.013659716677487e-06,0.016287603120570617,-1.7160480601165532e-05,-0.00012271093447516776,1.0,0.0003562051117551281,0.1419964300697715,0.0061637565491160584,0.01428464204494642,0.03479045048777432,-1.2023338129927439e-05,0.009476320095022327,0.015211468029546009,-2.5506327620406067e-05,0.020067977464334245,,,-9.581974765187811e-05,-0.003996724324692518,-0.003047339122527241,-0.001193391993182255,-0.001191928106164706,-0.0006376224543329192,-0.0006393474097801659,0.001380845977710101,-0.0006563502333136556,-0.0005236359392692178,-0.007139328701875447,-0.004540482167143085,-0.003278837680295271,0.010536047779095899,-0.00200238492126697,-0.00040791016623609915,-0.0011942351102395073,-0.0011911101745365688,-0.000648111591543901,-0.0006414887301422157,-0.0029853366287319874,0.003251886854822897,-0.000533051858427042,-2.3991729995671284e-05,-1.2134157105092456e-05,-3.509480163511282e-05,-6.62810802981381e-05,-3.767107086203564e-05,-3.802487458441983e-05,-4.107230713137313e-05,-3.603603031925629e-05,-3.7134050757482134e-05,-3.9408365675245244e-05,-3.940836567524845e-05,-0.0002818129088612376,-3.8722793705778333e-05,-0.00014849709457933618,-0.002958285667909893,-3.7134050757484947e-05,-3.6405714008257495e-05,-9.47633785639661e-05,-0.00010343342996298836,-0.00025258673170135284,-3.957790487079455e-05,-3.731391549428687e-05,-0.0009946405494928488,-3.640571400825228e-05,-3.957790487079358e-05,-3.923809463585744e-05,-3.7671070862033945e-05,-3.622134342760375e-05,-3.67716842232328e-05,-3.6953311299877664e-05,0.07592638600100779,-3.784838578347874e-05,-3.622134342760911e-05,-3.640571400825757e-05,-3.69533112998746e-05,-3.784838578347844e-05,-3.566251767287996e-05,-3.749291809918894e-05,-3.802487458441862e-05,-7.134562186705643e-05,-0.0003135395133412681,-3.6585489951629024e-06,-3.677168422322982e-05,-5.200833231405711e-05,-3.820054871503667e-05,-0.0013834429711992139,-3.6585489951629045e-06,-4.008222406034513e-05,-3.8549497464155704e-05,-3.872279370577567e-05,-0.0003643551783322425,-3.837541936347032e-05,-3.749291809919017e-05,-3.784838578347742e-05,-3.7492918099189785e-05,-3.9238094635858936e-05,0.04553997528987481,-3.658548995162873e-06,-9.679669581763966e-06,-4.584872706796736e-05,-1.3689216987792393e-05,-8.490556979511758e-05,-3.767107086203492e-05,-3.767107086203523e-05,-3.767107086203483e-05,-3.8375419363474744e-05,-1.0348012528301884e-05,-0.0006167782641298042,-8.808508278688142e-05,-1.2134157105093657e-05,-0.00011003974833780227,-0.0011889225504064201,-2.7623004844179585e-05,-1.7923573711392982e-05,-1.1569453142003974e-05,0.0014211039547928654,-3.7848385783485704e-05,-0.0014980182207719047
hot,0.013212927753622608,0.004482836433326445,0.0043654949100132324,-0.000294537371698282,-0.002106173886324583,0.0003562051117551281,1.0,0.008740464619823392,0.1053048829209889,0.0073483790733591065,0.02406480517059989,-0.00020636499024321314,0.000998400382890795,0.025247418091241723,0.006373167917126476,0.0019019887387739783,,,0.8435715365803926,-0.06845079688279249,-0.05216368504345986,-0.020264192458673114,-0.020217230202466702,-0.008304883236669213,-0.00582147790655913,0.022696804595246443,-0.0026856749310821687,0.001972919344278765,-0.026366422738514722,-0.03873029689689714,-0.02911696300643262,0.001319073460298427,-0.05292283579917907,-0.004467318453684916,-0.019490568464063586,-0.020200684070047457,-0.006540737908556355,-0.007748636755383801,-0.0512394276534206,0.055814416247446055,-0.009149143139342843,-0.00013435992293134687,-0.00020826705408617718,-0.0006023567098218057,-0.0011376286968917025,-0.0006465750265764904,-0.0006526476081614518,-0.0007049528316378982,-0.0006185116782773786,-0.0006373577736440049,-0.0006763934366805439,-0.0006763934366805727,-0.004836952729691957,-0.0006646264838375216,-0.002548759848792403,-0.050775133028597215,-0.0006373577736440363,-0.0006248568188738725,-0.0014155097494732486,0.7819199034030986,-0.00026505030649858657,-0.0006793033568755054,-0.0006404449183499952,0.017828398773571504,-0.0006248568188738702,-6.508738855557841e-06,-0.0006734709553361129,-0.0006465750265764542,-0.0006216923372078107,-0.0006311382225096004,-0.0006342556154910311,-0.0006404449183499667,-0.0006496184070119582,-0.0006216923372078405,-0.0006248568188738917,-0.0006342556154910056,-0.0006496184070119607,-0.0006121008185982779,-0.0006435172656810001,-0.0006526476081614251,-0.0012245549781091246,-0.005166077088661427,-6.279424395558053e-05,-0.0006311382225095779,-0.000892655506696741,-0.0006556628265524687,-0.023745002608131806,-6.279424395558057e-05,-0.0006879593410544525,-0.0006616520788241478,-0.0006646264838374663,-0.005955557375203495,-0.0006586642542149418,-0.0006435172656810276,-0.0004737373111593327,-0.0006435172656809893,-0.0006734709553361233,0.012077204541679133,-6.279424395558018e-05,-0.00016613896217607682,-0.0007869338790776171,-0.00023495763818635198,-0.0014572938807028246,-0.0006465750265764543,-0.0006465750265765224,-0.0006465750265764658,-0.0006586642542149477,-0.00017761020120728204,-0.010586198199196959,0.0025729559559681055,-0.000208267054086212,0.006109493786233333,-0.020399517652555033,0.0004897418255576537,0.006376442189664923,0.0038282846083954073,0.023070873106176056,-0.0006496184070120389,-0.006326709830733019
num_failed_logins,0.005238859915181378,-2.7391064748568797e-05,0.04932991584451051,-6.528060355653045e-05,-0.00046680766417351433,0.1419964300697715,0.008740464619823392,1.0,-0.0011446470071647572,0.006907151602078257,0.036982897552802034,0.11711698488361641,0.003249757916453661,0.003948459109986865,-9.702924412603802e-05,0.0033048983478493684,,,-0.0003645102433158775,-0.01518445520568369,-0.011577631064099673,-0.0031694575416960037,-0.0038496046001463835,0.02516674536121081,0.025097960768481108,0.004580922336268483,0.0038496605929042834,-0.0019919762711695867,-0.025443695955748337,-0.015412981672840342,0.0005069204359821178,0.00101716811679392,-0.009564567168241465,0.016000678947512097,-0.0019453528452840479,-0.002452724414492507,0.024752809934010713,0.02358430471604902,-0.01135659201350232,0.012370582241499886,-0.0020277955993077013,-9.126752629389363e-05,-4.61598435312123e-05,-0.0001335049924115453,-0.00025214147708357853,-0.0001433054411266042,-0.00014465135451181488,-0.00015624416712508142,-0.0001370855434469954,-0.0001412625498252542,-0.00014991432677486266,-0.0001499143267748598,-0.0010720513724558668,-0.0001473063256944311,-0.00056490142588847,-0.011253686792470876,-0.00014126254982525414,-0.0001384918662012403,-0.00036049168385713753,0.002854383341415121,-0.0009608713578055005,-0.00015055927497118716,-0.00014194677766537667,-0.0037837364175151485,-0.00013849186620123403,-0.00015055927497117436,-0.00014926659455347614,-0.0001433054411266037,-0.0001377904975704475,-0.00013988406243818912,-0.00014057499443835802,-0.00014194677766537293,-0.00014397996915179915,-0.00013779049757044027,-0.00013849186620123143,-0.00014057499443835705,-0.0001439799691518078,-0.00013566465486246782,-0.00014262772584845647,-0.0001446513545118142,-0.00027140762341359905,-0.0011927433237708565,-1.3917575626009016e-05,-0.00013988406243818885,-0.0001978461677349367,-0.00014531964076453205,-0.00526278920998246,-1.3917575626009014e-05,-0.0001524777679227562,-0.00014664708522733828,-0.0001473063256944244,-0.001386052436600275,-0.00014598487047107499,-0.00014262772584845403,-0.00014397996915180682,-0.00014262772584845376,-0.00014926659455347801,0.2993564549948755,-1.3917575626008885e-05,-3.682266757041937e-05,-0.0001744142629136131,-5.2075484827552175e-05,-0.0003229913526524428,-0.00014330544112660815,-0.0001433054411266072,-0.0001433054411266056,-0.00014598487047108022,-3.9365127303731094e-05,-0.002346301265024596,0.17120877346843014,-4.615984353120877e-05,0.011795473156739488,-0.004522809324304926,-0.00010508134767218522,-6.81835047026664e-05,0.05793645263178174,-0.010306557589020111,-0.00014397996915182452,-0.0010599592733632165
logged_in,-0.017265158275511033,0.0017006498881350133,0.047814260115436095,-0.002784094482710777,-0.019908465478371575,0.0061637565491160584,0.1053048829209889,-0.0011446470071647572,1.0,0.013611690010893053,0.025292814100065574,0.011207487304220047,0.01351899380713481,0.026923070190152536,0.02377558044977921,0.0662328981675319,,,0.0893178411600158,-0.6346429441382591,-0.47812179856817605,-0.19169770206867398,-0.19111305973145282,-0.09913677054816736,-0.09437221420781679,0.21968481425629927,-0.07269211246009076,0.3306734121069212,-0.6210290531918581,0.1193145545398118,0.16106987029355982,-0.06115138323723598,-0.4615581454098522,0.14049294794304126,-0.19095498228608243,-0.19170388000504887,-0.09086819809108745,-0.08788542048154466,-0.4843372065303865,0.5275819751980813,-0.08648165354673262,0.014425852627059177,0.004067468357693002,-0.00569373585012028,0.025736239017798923,-0.006111706483190045,-0.006169107147795214,-0.006663518716887482,-0.005846439591197747,-0.006024581026453759,-0.006021771164258308,-0.005278187537612991,-0.0457209668512354,-0.006282336655773969,-0.02409197920067751,-0.4799484931529832,-0.006024581026453948,-0.005906416601330389,-0.015374289657426774,0.08066961200547644,0.17425987760502148,-0.00568066895117182,-0.006053762051916449,0.832879144037703,-0.005906416601330054,-0.0060508688757861225,-0.006365938421348611,-0.006111706483189977,-0.0058765045535097565,-0.00596579114217394,-0.005995258087404317,-0.005268459755512599,-0.006140473829860746,-0.0058765045535100905,-0.00590641660133037,-0.005995258087404086,-0.006140473829860737,-0.00578584137590516,-0.006082803206198348,-0.005783794360357701,-0.011575022682764611,-0.04859239703610509,-0.0005935583221059671,-0.005965791142173704,0.013821869432219355,-0.006197608294655326,-0.22443436996786656,-0.0005935583221059646,-0.006502888902400577,-0.006254221294591329,-0.006282336655773852,0.33339805759335556,-0.006225979085591366,-0.005301248599665859,-0.006140473829860996,-0.0060828032061986965,-0.00636593842134867,0.028643372993821647,-0.0005935583221059604,-0.0015704172454948898,-0.007438438994568026,-0.0022209211020441594,-0.013774971337454324,-0.006111706483189684,-0.006111706483190147,-0.006111706483189848,-0.006225979085591551,-0.0016788483525985002,-0.10006531880599218,-0.0062991987779044915,-0.0019686301703190846,-0.00264947100907183,-0.19288927798049293,0.02309686169634735,0.015890056500648734,0.006985976672308177,0.22727488321659434,-0.006140473829862023,-0.7952821727296104
num_compromised,0.05809501636780907,0.00011854439828134797,0.023297952057456304,-3.789623105969373e-05,-0.0002709878606841545,0.01428464204494642,0.0073483790733591065,0.006907151602078257,0.013611690010893053,1.0,0.25555658491781263,0.7013997499488389,0.9938277978737944,0.010933598851062144,0.00934075089508624,0.41223818267642937,,,-0.00021160289047210724,-0.008792135446580977,-0.0067037659250646035,-0.0025967474893419037,-0.00261839014102478,-0.0010492045528447378,-0.0004777994160304596,0.003012063566963371,-0.0013378518428557998,0.0007703207132893525,-0.008360915029673668,-0.004796977917230358,-0.0025839987597916316,0.00035944927358939514,-0.006714532163093961,0.0006211854514516991,-0.001978377582710139,-0.0016309779290744435,-0.0008431376456647491,-0.0008729968962161024,-0.00659264791603279,0.007181282301730643,-0.0011771614597074587,-5.2981974372909946e-05,-2.6796383624474678e-05,-7.750136739574195e-05,2.842263262475647e-05,-8.319065408674169e-05,-8.397197413976679e-05,-9.070175115605069e-05,-7.957992338278938e-05,-8.200472937758988e-05,-8.702719731594773e-05,-8.702719731594846e-05,-0.00062233962777732,-8.551321910246113e-05,-0.00032793255262851886,-0.006532910109992752,-8.20047293775929e-05,-8.039631185249387e-05,-0.00020927006495455213,-0.00022841651421508835,-0.0005346585178584289,-8.740159804967373e-05,-8.240193245039459e-05,0.005006225218811564,-8.03963118524928e-05,0.001083007621405216,-8.665118041983086e-05,-8.31906540867409e-05,-7.998915832997411e-05,-8.12044996969993e-05,-8.160559462103853e-05,-4.815050787141941e-06,-8.35822262920643e-05,-7.998915832997378e-05,-8.039631185249365e-05,-8.160559462104003e-05,-8.358222629206205e-05,-7.87550792610147e-05,-8.27972316400367e-05,-8.397197413976314e-05,-0.00015755562062684395,-0.000692402859807867,-8.079331883891664e-06,-8.120449969699929e-05,-3.499134133616302e-06,-8.435992291578147e-05,-0.0030551169115224886,-8.079331883891675e-06,-8.851530791474768e-05,-8.513052152149787e-05,-8.551321910245842e-05,-0.0007884141834050126,-8.474609732737189e-05,-8.279723164003769e-05,-8.358222629206263e-05,-8.279723164004016e-05,-8.665118041982533e-05,0.0999438189068773,-8.079331883891605e-06,-2.1376032733435266e-05,-0.00010124972575898998,-3.0230489579674825e-05,-0.00018750063975435047,-8.319065408673941e-05,-8.319065408674213e-05,-8.319065408674306e-05,-8.47460973273707e-05,-2.285196335086855e-05,-0.0013620581004282763,-0.00019452209572599541,-2.679638362447523e-05,0.0007847202648176405,-0.0026255490582951604,-6.1001075579842875e-05,0.00012191549266429979,-2.5549323453906107e-05,0.0030319321768887382,-8.358222629206423e-05,-0.005045688403310583
